Variable,Year,Value,RSE,Industry
Fuel oil and grease ($),1993,11930,6,Sheep-Beef
Grain legumes area sown (ha),1993,2,63,Sheep-Beef
Grain legumes produced (t),1993,2,49,Sheep-Beef
Grain legumes receipts ($),1993,680,63,Sheep-Beef
Handling and marketing ($),1993,17060,4,Sheep-Beef
Hours worked on farm - total (hrsperwk),1993,,,Sheep-Beef
Hours worked on farm by owner manager (hrsperwk),1993,,,Sheep-Beef
Hours worked on farm by spouse (hrsperwk),1993,,,Sheep-Beef
Imputed labor cost ($),1993,62040,4,Sheep-Beef
Insurance ($),1993,4720,6,Sheep-Beef
Interest paid ($),1993,25920,10,Sheep-Beef
Lambs at 30 June (no.),1993,403,8,Sheep-Beef
Land rent ($),1993,2300,22,Sheep-Beef
Leasing charges ($),1993,2460,33,Sheep-Beef
Livestock materials ($),1993,7460,7,Sheep-Beef
Livestock transfers - inwards ($),1993,1040,57,Sheep-Beef
Livestock transfers - outward ($),1993,520,59,Sheep-Beef
Lupins area sown (ha),1993,1,44,Sheep-Beef
Lupins produced (t),1993,1,45,Sheep-Beef
Lupins receipts ($),1993,170,52,Sheep-Beef
Net capital additions ($),1993,30250,44,Sheep-Beef
Oats area sown (ha),1993,11,15,Sheep-Beef
Oats produced (t),1993,10,20,Sheep-Beef
Oats receipts ($),1993,720,31,Sheep-Beef
Off farm contracts ($),1993,7180,39,Sheep-Beef
Off farm sharefarming ($),1993,210,110,Sheep-Beef
Off-farm work for owner manager (hrsperwk),1993,2,44,Sheep-Beef
Off-farm work for spouse (hrsperwk),1993,6,25,Sheep-Beef
Oilseeds area sown (ha),1993,2,46,Sheep-Beef
Oilseeds produced (t),1993,1,58,Sheep-Beef
Oilseeds receipts ($),1993,460,63,Sheep-Beef
Other administration expenses ($),1993,4290,8,Sheep-Beef
Other farm income ($),1993,9130,10,Sheep-Beef
Other livestock purchased ($),1993,240,38,Sheep-Beef
Other livestock receipts ($),1993,390,33,Sheep-Beef
Other materials ($),1993,2500,11,Sheep-Beef
Other services ($),1993,8120,12,Sheep-Beef
Payments to sharefarmers ($),1993,490,63,Sheep-Beef
Population,1993,11081,,Sheep-Beef
Produce purchased for resale ($),1993,70,91,Sheep-Beef
Profit at full equity ($),1993,-26840,20,Sheep-Beef
Profit at full equity including capital appreciation ($),1993,-56860,27,Sheep-Beef
Rams at 30 June (no.),1993,27,9,Sheep-Beef
Rate of return ex. capital appreciation (%),1993,-1.3,22,Sheep-Beef
Rate of return inc. capital appreciation (%),1993,-2.8,28,Sheep-Beef
Repairs and maintenance ($),1993,15260,5,Sheep-Beef
Rice area sown (ha),1993,0,,Sheep-Beef
Sample Contributing,1993,236,,Sheep-Beef
Seed ($),1993,1160,15,Sheep-Beef
Shearing crutching ($),1993,13530,6,Sheep-Beef
Sheep and lambs shorn (no.),1993,2558,4,Sheep-Beef
Sheep flock at 30 June (no.),1993,2288,5,Sheep-Beef
Sheep purchased ($),1993,7930,14,Sheep-Beef
Sheep purchased (no.),1993,181,17,Sheep-Beef
Sheep receipts ($),1993,30580,8,Sheep-Beef
Sheep sold (no.),1993,760,6,Sheep-Beef
Shire and PPB rates ($),1993,7450,5,Sheep-Beef
Sorghum area sown (ha),1993,1,44,Sheep-Beef
Sorghum produced (t),1993,1,68,Sheep-Beef
Sorghum receipts ($),1993,130,57,Sheep-Beef
Steers and other beef cattle at 30 June (no.),1993,45,10,Sheep-Beef
Stores and rations ($),1993,740,16,Sheep-Beef
Telephone ($),1993,2280,6,Sheep-Beef
Total area cropped (ha),1993,50,10,Sheep-Beef
Total area irrigated (ha),1993,12,22,Sheep-Beef
Total cash costs ($),1993,210800,5,Sheep-Beef
Total cash receipts ($),1993,235850,4,Sheep-Beef
Total closing capital ($),1993,2061430,5,Sheep-Beef
Total crop gross receipts ($),1993,9330,24,Sheep-Beef
Total family income ($),1993,23140,27,Sheep-Beef
Total freight ($),1993,6200,8,Sheep-Beef
Total labor used (weeks),1993,90,3,Sheep-Beef
Total non farm income ($),1993,25980,11,Sheep-Beef
Total off farm wages ($),1993,11840,25,Sheep-Beef
Total wool sold (kg),1993,10478,5,Sheep-Beef
Value of land and fixed improvements ($),1993,1708160,6,Sheep-Beef
Vet fees ($),1993,340,18,Sheep-Beef
Wages for hired labor ($),1993,10160,11,Sheep-Beef
Water charges ($),1993,1220,24,Sheep-Beef
Wethers at 30 June (no.),1993,754,8,Sheep-Beef
Wheat area sown (ha),1993,6,28,Sheep-Beef
Wheat produced (t),1993,10,40,Sheep-Beef
Wheat receipts ($),1993,2540,45,Sheep-Beef
Wheat sold (t),1993,8,44,Sheep-Beef
Wool cut per head (kg),1993,4.3,2,Sheep-Beef
Wool produced (kg),1993,11038,5,Sheep-Beef
Wool receipts ($),1993,73000,5,Sheep-Beef
AI stud fees and herd testing ($),1994,410,21,All Broadacre
Accounting services ($),1994,2920,2,All Broadacre
Advisory services ($),1994,770,22,All Broadacre
Age of owner manager (yrs),1994,53,1,All Broadacre
Age of spouse (yrs),1994,49,1,All Broadacre
Agistment ($),1994,1990,13,All Broadacre
Area operated at 30 June (ha),1994,6134,5,All Broadacre
Barley area sown (ha),1994,46,6,All Broadacre
Barley produced (t),1994,101,6,All Broadacre
Barley receipts ($),1994,20160,6,All Broadacre
Beef bulls at 30 June (no.),1994,8,8,All Broadacre
Beef calves at 30 June (no.),1994,69,3,All Broadacre
Beef cattle purchased ($),1994,25270,13,All Broadacre
Beef cattle purchased (no.),1994,30,13,All Broadacre
Beef cattle receipts ($),1994,116830,5,All Broadacre
Beef cattle sold (no.),1994,109,4,All Broadacre
Beef cattle transferred off farm (no.),1994,6,15,All Broadacre
Beef cattle transferred onto farm (no.),1994,2,21,All Broadacre
Beef cows at 30 June (no.),1994,117,3,All Broadacre
Beef heifers at 30 June (no.),1994,28,4,All Broadacre
Beef herd at 30 June (no.),1994,280,3,All Broadacre
Branding rate (%),1994,76.6,1,All Broadacre
Buildup in trading stocks ($),1994,-1280,208,All Broadacre
Canola area sown (ha),1994,3,12,All Broadacre
Canola produced (t),1994,5,13,All Broadacre
Canola receipts ($),1994,3710,14,All Broadacre
Capital appreciation ($),1994,89060,5,All Broadacre
Capital at 1 July ($),1994,2158710,2,All Broadacre
Change in farm debt ($),1994,8830,44,All Broadacre
Contracts - cropping ($),1994,6180,6,All Broadacre
Contracts - livestock ($),1994,1060,12,All Broadacre
Cotton receipts ($),1994,600,45,All Broadacre
Crop and pasture chemicals ($),1994,12990,4,All Broadacre
Dairy cattle at June 30 (no.),1994,1,66,All Broadacre
Depreciation ($),1994,34710,2,All Broadacre
Electricity ($),1994,3030,4,All Broadacre
Equity ratio at 30 June (%),1994,86,1,All Broadacre
Ewes at 30 June (no.),1994,858,3,All Broadacre
Family share of farm income ($),1994,24490,10,All Broadacre
Farm business debt at 30 June ($),1994,307150,4,All Broadacre
Farm business equity June 30 ($),1994,1831750,2,All Broadacre
Farm business profit ($),1994,-16000,21,All Broadacre
Farm cash income ($),1994,85170,4,All Broadacre
Farm liquid assets at 30 June ($),1994,99170,6,All Broadacre
Fertiliser ($),1994,21310,3,All Broadacre
Field peas area sown (ha),1994,5,13,All Broadacre
Field peas produced (t),1994,8,12,All Broadacre
Field peas receipts ($),1994,2850,13,All Broadacre
Fodder ($),1994,12860,13,All Broadacre
Fuel oil and grease ($),1994,21450,2,All Broadacre
Grain legumes area sown (ha),1994,27,6,All Broadacre
Grain legumes produced (t),1994,36,6,All Broadacre
Grain legumes receipts ($),1994,13370,7,All Broadacre
Handling and marketing ($),1994,27570,2,All Broadacre
Hours worked on farm - total (hrsperwk),1994,,,All Broadacre
Hours worked on farm by owner manager (hrsperwk),1994,,,All Broadacre
Hours worked on farm by spouse (hrsperwk),1994,,,All Broadacre
Imputed labor cost ($),1994,65180,2,All Broadacre
Insurance ($),1994,6720,3,All Broadacre
Interest paid ($),1994,28120,5,All Broadacre
Lambs at 30 June (no.),1994,385,3,All Broadacre
Land rent ($),1994,3190,11,All Broadacre
Leasing charges ($),1994,3960,15,All Broadacre
Livestock materials ($),1994,6360,3,All Broadacre
Livestock transfers - inwards ($),1994,1400,20,All Broadacre
Livestock transfers - outward ($),1994,3070,15,All Broadacre
Lupins area sown (ha),1994,16,9,All Broadacre
Lupins produced (t),1994,21,9,All Broadacre
Lupins receipts ($),1994,6920,10,All Broadacre
Net capital additions ($),1994,17500,45,All Broadacre
Oats area sown (ha),1994,18,6,All Broadacre
Oats produced (t),1994,23,9,All Broadacre
Oats receipts ($),1994,2340,12,All Broadacre
Off farm contracts ($),1994,7720,17,All Broadacre
Off farm sharefarming ($),1994,4420,21,All Broadacre
Off-farm work for owner manager (hrsperwk),1994,3,16,All Broadacre
Off-farm work for spouse (hrsperwk),1994,5,9,All Broadacre
Oilseeds area sown (ha),1994,8,11,All Broadacre
Oilseeds produced (t),1994,11,11,All Broadacre
Oilseeds receipts ($),1994,7910,12,All Broadacre
Other administration expenses ($),1994,5050,3,All Broadacre
Other farm income ($),1994,19130,9,All Broadacre
Other livestock purchased ($),1994,610,21,All Broadacre
Other livestock receipts ($),1994,3710,24,All Broadacre
Other materials ($),1994,3610,8,All Broadacre
Other services ($),1994,8800,4,All Broadacre
Payments to sharefarmers ($),1994,4130,29,All Broadacre
Population,1994,72863,,All Broadacre
Produce purchased for resale ($),1994,750,70,All Broadacre
Profit at full equity ($),1994,16910,19,All Broadacre
Profit at full equity including capital appreciation ($),1994,105970,5,All Broadacre
Rams at 30 June (no.),1994,21,6,All Broadacre
Rate of return ex. capital appreciation (%),1994,0.8,18,All Broadacre
Rate of return inc. capital appreciation (%),1994,4.8,5,All Broadacre
Repairs and maintenance ($),1994,27330,3,All Broadacre
Rice area sown (ha),1994,2,18,All Broadacre
Sample Contributing,1994,1641,,All Broadacre
Seed ($),1994,3590,6,All Broadacre
Shearing crutching ($),1994,10580,3,All Broadacre
Sheep and lambs shorn (no.),1994,1942,2,All Broadacre
Sheep flock at 30 June (no.),1994,1771,3,All Broadacre
Sheep purchased ($),1994,7730,7,All Broadacre
Sheep purchased (no.),1994,172,8,All Broadacre
Sheep receipts ($),1994,27180,4,All Broadacre
Sheep sold (no.),1994,643,3,All Broadacre
Shire and PPB rates ($),1994,7310,2,All Broadacre
Sorghum area sown (ha),1994,7,12,All Broadacre
Sorghum produced (t),1994,13,12,All Broadacre
Sorghum receipts ($),1994,3000,14,All Broadacre
Steers and other beef cattle at 30 June (no.),1994,58,6,All Broadacre
Stores and rations ($),1994,680,8,All Broadacre
Telephone ($),1994,2700,2,All Broadacre
Total area cropped (ha),1994,242,2,All Broadacre
Total area irrigated (ha),1994,22,28,All Broadacre
Total cash costs ($),1994,300030,3,All Broadacre
Total cash receipts ($),1994,385200,2,All Broadacre
Total closing capital ($),1994,2213870,2,All Broadacre
Total crop gross receipts ($),1994,138770,3,All Broadacre
Total family income ($),1994,61200,5,All Broadacre
Total freight ($),1994,16050,3,All Broadacre
Total labor used (weeks),1994,96,1,All Broadacre
Total non farm income ($),1994,31370,7,All Broadacre
Total off farm wages ($),1994,14380,9,All Broadacre
Total wool sold (kg),1994,9233,3,All Broadacre
Value of land and fixed improvements ($),1994,1793660,2,All Broadacre
Vet fees ($),1994,360,11,All Broadacre
Wages for hired labor ($),1994,11350,5,All Broadacre
Water charges ($),1994,1840,9,All Broadacre
Wethers at 30 June (no.),1994,507,4,All Broadacre
Wheat area sown (ha),1994,109,4,All Broadacre
Wheat produced (t),1994,228,4,All Broadacre
Wheat receipts ($),1994,73950,4,All Broadacre
Wheat sold (t),1994,217,4,All Broadacre
Wool cut per head (kg),1994,4.6,1,All Broadacre
Wool produced (kg),1994,8873,3,All Broadacre
Wool receipts ($),1994,64370,3,All Broadacre
AI stud fees and herd testing ($),1994,550,32,Beef
Accounting services ($),1994,2760,6,Beef
Advisory services ($),1994,1120,57,Beef
Age of owner manager (yrs),1994,56,2,Beef
Age of spouse (yrs),1994,53,2,Beef
Agistment ($),1994,5530,18,Beef
Area operated at 30 June (ha),1994,14420,8,Beef
Barley area sown (ha),1994,5,31,Beef
Barley produced (t),1994,3,32,Beef
Barley receipts ($),1994,590,52,Beef
Beef bulls at 30 June (no.),1994,24,10,Beef
Beef calves at 30 June (no.),1994,186,4,Beef
Beef cattle purchased ($),1994,63390,21,Beef
Beef cattle purchased (no.),1994,69,21,Beef
Beef cattle receipts ($),1994,334320,6,Beef
Beef cattle sold (no.),1994,313,5,Beef
Beef cattle transferred off farm (no.),1994,22,15,Beef
Beef cattle transferred onto farm (no.),1994,9,22,Beef
Beef cows at 30 June (no.),1994,338,3,Beef
Beef heifers at 30 June (no.),1994,84,5,Beef
Beef herd at 30 June (no.),1994,808,3,Beef
Branding rate (%),1994,73.2,1,Beef
Buildup in trading stocks ($),1994,-18420,49,Beef
Canola area sown (ha),1994,0,,Beef
Canola produced (t),1994,0,,Beef
Canola receipts ($),1994,0,,Beef
Capital appreciation ($),1994,102500,10,Beef
Capital at 1 July ($),1994,2763520,4,Beef
Change in farm debt ($),1994,2610,381,Beef
Contracts - cropping ($),1994,1920,19,Beef
Contracts - livestock ($),1994,2470,13,Beef
Cotton receipts ($),1994,0,,Beef
Crop and pasture chemicals ($),1994,1920,15,Beef
Dairy cattle at June 30 (no.),1994,0,100,Beef
Depreciation ($),1994,28950,4,Beef
Electricity ($),1994,2620,8,Beef
Equity ratio at 30 June (%),1994,90,1,Beef
Ewes at 30 June (no.),1994,84,29,Beef
Family share of farm income ($),1994,22690,25,Beef
Farm business debt at 30 June ($),1994,281000,11,Beef
Farm business equity June 30 ($),1994,2427100,4,Beef
Farm business profit ($),1994,-12650,70,Beef
Farm cash income ($),1994,94760,10,Beef
Farm liquid assets at 30 June ($),1994,108650,12,Beef
Fertiliser ($),1994,10680,10,Beef
Field peas area sown (ha),1994,0,65,Beef
Field peas produced (t),1994,0,81,Beef
Field peas receipts ($),1994,20,106,Beef
Fodder ($),1994,32600,19,Beef
Fuel oil and grease ($),1994,16400,6,Beef
Grain legumes area sown (ha),1994,1,52,Beef
Grain legumes produced (t),1994,0,58,Beef
Grain legumes receipts ($),1994,100,97,Beef
Handling and marketing ($),1994,13760,6,Beef
Hours worked on farm - total (hrsperwk),1994,,,Beef
Hours worked on farm by owner manager (hrsperwk),1994,,,Beef
Hours worked on farm by spouse (hrsperwk),1994,,,Beef
Imputed labor cost ($),1994,60040,3,Beef
Insurance ($),1994,4650,5,Beef
Interest paid ($),1994,26690,13,Beef
Lambs at 30 June (no.),1994,38,26,Beef
Land rent ($),1994,2480,18,Beef
Leasing charges ($),1994,2760,30,Beef
Livestock materials ($),1994,6130,7,Beef
Livestock transfers - inwards ($),1994,4920,24,Beef
Livestock transfers - outward ($),1994,10540,17,Beef
Lupins area sown (ha),1994,0,108,Beef
Lupins produced (t),1994,0,108,Beef
Lupins receipts ($),1994,0,79,Beef
Net capital additions ($),1994,9770,241,Beef
Oats area sown (ha),1994,11,20,Beef
Oats produced (t),1994,2,47,Beef
Oats receipts ($),1994,290,88,Beef
Off farm contracts ($),1994,7390,44,Beef
Off farm sharefarming ($),1994,20,109,Beef
Off-farm work for owner manager (hrsperwk),1994,3,32,Beef
Off-farm work for spouse (hrsperwk),1994,4,20,Beef
Oilseeds area sown (ha),1994,1,72,Beef
Oilseeds produced (t),1994,1,92,Beef
Oilseeds receipts ($),1994,260,81,Beef
Other administration expenses ($),1994,4780,9,Beef
Other farm income ($),1994,17990,21,Beef
Other livestock purchased ($),1994,490,34,Beef
Other livestock receipts ($),1994,1350,29,Beef
Other materials ($),1994,5060,18,Beef
Other services ($),1994,10770,10,Beef
Payments to sharefarmers ($),1994,920,69,Beef
Population,1994,17393,,Beef
Produce purchased for resale ($),1994,10,66,Beef
Profit at full equity ($),1994,17870,43,Beef
Profit at full equity including capital appreciation ($),1994,120370,11,Beef
Rams at 30 June (no.),1994,2,24,Beef
Rate of return ex. capital appreciation (%),1994,0.6,43,Beef
Rate of return inc. capital appreciation (%),1994,4.3,10,Beef
Repairs and maintenance ($),1994,23840,7,Beef
Rice area sown (ha),1994,0,,Beef
Sample Contributing,1994,452,,Beef
Seed ($),1994,2340,16,Beef
Shearing crutching ($),1994,1060,33,Beef
Sheep and lambs shorn (no.),1994,192,23,Beef
Sheep flock at 30 June (no.),1994,174,25,Beef
Sheep purchased ($),1994,1110,29,Beef
Sheep purchased (no.),1994,32,36,Beef
Sheep receipts ($),1994,4670,26,Beef
Sheep sold (no.),1994,93,26,Beef
Shire and PPB rates ($),1994,7800,6,Beef
Sorghum area sown (ha),1994,3,41,Beef
Sorghum produced (t),1994,4,43,Beef
Sorghum receipts ($),1994,200,42,Beef
Steers and other beef cattle at 30 June (no.),1994,177,8,Beef
Stores and rations ($),1994,1470,11,Beef
Telephone ($),1994,2650,4,Beef
Total area cropped (ha),1994,49,11,Beef
Total area irrigated (ha),1994,10,22,Beef
Total cash costs ($),1994,296300,8,Beef
Total cash receipts ($),1994,391060,6,Beef
Total closing capital ($),1994,2828420,4,Beef
Total crop gross receipts ($),1994,9710,22,Beef
Total family income ($),1994,64530,11,Beef
Total freight ($),1994,12510,9,Beef
Total labor used (weeks),1994,96,3,Beef
Total non farm income ($),1994,37150,14,Beef
Total off farm wages ($),1994,13410,21,Beef
Total wool sold (kg),1994,787,22,Beef
Value of land and fixed improvements ($),1994,2162190,4,Beef
Vet fees ($),1994,570,23,Beef
Wages for hired labor ($),1994,16730,9,Beef
Water charges ($),1994,860,23,Beef
Wethers at 30 June (no.),1994,49,32,Beef
Wheat area sown (ha),1994,3,40,Beef
Wheat produced (t),1994,4,37,Beef
Wheat receipts ($),1994,1300,42,Beef
Wheat sold (t),1994,3,40,Beef
Wool cut per head (kg),1994,4.1,4,Beef
Wool produced (kg),1994,796,22,Beef
Wool receipts ($),1994,5060,25,Beef
AI stud fees and herd testing ($),1994,50,48,Cropping
Accounting services ($),1994,4030,5,Cropping
Advisory services ($),1994,1190,21,Cropping
Age of owner manager (yrs),1994,49,2,Cropping
Age of spouse (yrs),1994,47,2,Cropping
Agistment ($),1994,630,46,Cropping
Area operated at 30 June (ha),1994,1615,3,Cropping
Barley area sown (ha),1994,135,6,Cropping
Barley produced (t),1994,321,6,Cropping
Barley receipts ($),1994,63890,6,Cropping
Beef bulls at 30 June (no.),1994,1,17,Cropping
Beef calves at 30 June (no.),1994,11,16,Cropping
Beef cattle purchased ($),1994,5240,21,Cropping
Beef cattle purchased (no.),1994,7,21,Cropping
Beef cattle receipts ($),1994,15000,12,Cropping
Beef cattle sold (no.),1994,13,11,Cropping
Beef cattle transferred off farm (no.),1994,0,97,Cropping
Beef cattle transferred onto farm (no.),1994,0,,Cropping
Beef cows at 30 June (no.),1994,15,13,Cropping
Beef heifers at 30 June (no.),1994,3,19,Cropping
Beef herd at 30 June (no.),1994,38,12,Cropping
Branding rate (%),1994,88.3,2,Cropping
Buildup in trading stocks ($),1994,7280,58,Cropping
Canola area sown (ha),1994,6,19,Cropping
Canola produced (t),1994,10,19,Cropping
Canola receipts ($),1994,6920,19,Cropping
Capital appreciation ($),1994,62590,12,Cropping
Capital at 1 July ($),1994,2025970,3,Cropping
Change in farm debt ($),1994,23650,33,Cropping
